Date,Open,High,Low,Adj Close,Volume,sma,rsi,ma,std_dev,upperband,lowerband,EMA12,EMA26,MACD,Signal_Line,MACD_Histogram,Close,CloseY
2020-11-12,463,463.5,457.5,425.5625916,40100880,449.1,52.8736,449.1,7.6185,464.337,433.863,451.2009261,447.9178015,3.283124569,2.372717993,0.910406576,458,462
2020-11-13,459,462,456.5,429.2792969,31037438,449.75,57.4713,449.75,8.1459,466.0418,433.4582,452.8623221,448.9609273,3.901394742,2.678453343,1.222941399,462,484
2020-11-16,470,484.5,469,449.7211914,81994937,451.075,63.1841,451.075,11.0944,473.2638,428.8862,457.6527341,451.5564142,6.096319866,3.362026648,2.734293219,484,485.5
2020-11-17,502,506,485.5,451.1148987,72413868,452.8,68.0628,452.8,13.5028,479.8056,425.7944,461.9369288,454.0707539,7.866174937,4.262856306,3.603318631,485.5,497
2020-11-18,490,497,486.5,461.800415,50387727,455,70.9524,455,16.7348,488.4696,421.5304,467.3312475,457.250698,10.08054942,5.426394929,4.654154494,497,490
2020-11-19,499,499,490,455.2962036,44220053,456.75,65.9091,456.75,18.4744,493.6988,419.8012,470.8187479,459.6765723,11.14217559,6.569551062,4.572624532,490,488
2020-11-20,486,490,486,453.4378967,32281453,458.55,66.5138,458.55,19.7003,497.9506,419.1494,473.4620174,461.7746039,11.68741347,7.593123544,4.094289927,488,496.5
2020-11-23,494.5,498.5,492,461.335907,38084006,460.875,70.1299,460.875,21.3158,503.5066,418.2434,477.0063224,464.3468555,12.65946692,8.60639222,4.053074704,496.5,492
2020-11-24,499.5,500,491.5,457.1545715,35479226,463.125,69.2308,463.125,22.1335,507.392,418.858,479.3130421,466.3952366,12.91780548,9.468674871,3.449130605,492,487
2020-11-25,495,495.5,487,452.508667,41419632,465.275,68.0672,465.275,22.266,509.807,420.743,480.495651,467.9215154,12.57413562,10.08976702,2.484368598,487,489
2020-11-26,489,493.5,488,454.3670044,28893033,467.875,72.807,467.875,21.8222,511.5194,424.2306,481.8040124,469.4828846,12.32112777,10.53603917,1.785088603,489,489
2020-11-27,487.5,492,486.5,454.3670044,32960189,470.725,76.1468,470.725,20.5769,511.8788,429.5712,482.9110874,470.9285968,11.98249054,10.82532945,1.157161098,489,480.5
2020-11-30,493,493.5,480.5,446.4691162,119895176,472.975,69.7368,472.975,18.9157,510.8064,435.1436,482.5401509,471.6375897,10.9025612,10.8407758,0.061785401,480.5,490
2020-12-01,489.5,490,483.5,455.2962036,37018651,475.425,70.7627,475.425,17.6898,510.8046,440.0454,483.68782,472.9977682,10.69005175,10.81063099,-0.120579236,490,499
2020-12-02,499.5,500,493.5,463.658844,50621339,477.875,70.7627,477.875,17.3735,512.622,443.128,486.04354,474.9238595,11.11968051,10.87244089,0.247239621,499,497
2020-12-03,499.5,499.5,495,461.800415,35651379,480.175,69.3277,480.175,16.6585,513.492,446.858,487.7291492,476.5591291,11.17002008,10.93195673,0.23806335,497,503
2020-12-04,498.5,505,497.5,467.3754883,51172005,482.7,70.4453,482.7,16.0594,514.8188,450.5812,490.0785109,478.5177121,11.56079871,11.05772513,0.503073587,503,514
2020-12-07,512,515,506,477.596405,44271244,485.475,71.5953,485.475,16.4481,518.3712,452.5788,493.75874,481.1460298,12.61271019,11.36872214,1.243988053,514,524
2020-12-08,514,525,509,486.8881531,40771761,489.125,77.8626,489.125,16.4947,522.1144,456.1356,498.4112415,484.3203979,14.09084357,11.91314643,2.177697146,524,520
2020-12-09,521,524,520,483.1715393,43314115,492.275,74.4186,492.275,16.0464,524.3678,460.1822,501.732589,486.9633314,14.76925755,12.48436865,2.284888896,520,512
2020-12-10,511,515,510,475.7381287,42556926,494.975,69.8529,494.975,14.4381,523.8512,466.0988,503.3121907,488.8178995,14.4942912,12.88635316,1.60793804,512,516
2020-12-11,517,517,505,479.454834,45660960,497.675,69.8529,497.675,12.916,523.507,471.843,505.2641613,490.8313884,14.43277294,13.19563712,1.237135823,516,508
2020-12-14,512,513,508,472.0214233,30260485,498.875,59.8361,498.875,12.6916,524.2582,473.4918,505.6850596,492.1031374,13.58192219,13.27289413,0.309028058,508,504
2020-12-15,507,510,504,468.3047485,39852366,499.8,57.4297,499.8,12.3346,524.4692,475.1308,505.4258197,492.9843865,12.44143317,13.10660194,-0.665168768,504,512
2020-12-16,509,515,507,475.7381287,52012348,500.55,56.1983,500.55,12.6084,525.7668,475.3332,506.437232,494.3929504,12.04428157,12.89413786,-0.849856297,512,508
2020-12-17,515,515,508,474.3375244,38215179,501.45,57.6271,501.45,12.4572,526.3644,476.5356,506.6776579,495.40088,11.27677781,12.57066585,-1.29388804,508,510
2020-12-18,508,512,507,476.2049561,39924864,502.55,59.322,502.55,12.1751,526.9002,478.1998,507.1887874,496.4822963,10.70649108,12.1978309,-1.491339818,510,516
2020-12-21,512,517,508,481.8074036,34813281,503.525,58.4416,503.525,12.443,528.411,478.639,508.5443586,497.9280522,10.61630642,11.881526,-1.265219583,516,509
2020-12-22,512,516,509,475.2712708,22454277,504.375,57.2034,504.375,12.1924,528.7598,479.9902,508.6144573,498.7481964,9.866260817,11.47847297,-1.61221215,509,509
2020-12-23,508,511,506,475.2712708,18086715,505.475,59.7345,505.475,11.516,528.507,482.443,508.6737715,499.5075893,9.166182228,11.01601482,-1.849832591,509,510
2020-12-24,511,512,508,476.2049561,14950143,506.525,59.375,506.525,10.8743,528.2736,484.7764,508.8778067,500.2848049,8.59300177,10.53141221,-1.938410439,510,511
2020-12-25,514,515,510,477.1386719,12327895,507.625,59.7345,507.625,10.0928,527.8106,487.4394,509.204298,501.0785231,8.125774895,10.05028475,-1.924509851,511,515
2020-12-28,512,515,509,480.8736267,19087382,509.35,65.8986,509.35,7.9291,525.2082,493.4918,510.0959444,502.1097436,7.986200849,9.637467967,-1.651267118,515,515
2020-12-29,515,517,513,480.8736267,19907528,510.6,62.6263,510.6,6.5727,523.7454,497.4546,510.8504145,503.0645774,7.785837128,9.267141799,-1.481304671,515,525
2020-12-30,516,525,514,490.2110291,46292401,511.9,63,511.9,6.727,525.354,498.446,513.0272738,504.6894235,8.337850314,9.081283502,-0.743433188,525,530
2020-12-31,526,530,524,494.8796387,29970398,513.55,66.0194,513.55,6.9242,527.3984,499.7016,515.6384625,506.564281,9.074181439,9.079863089,-0.00568165,530,536
2021-01-04,530,540,528,500.4821167,38770328,515.2,66.0194,515.2,8.1085,531.417,498.983,518.7710067,508.7447047,10.02630205,9.269150881,0.757151166,536,542
2021-01-05,536,542,535,506.0844727,34411866,516.6,64.2857,516.6,10.0703,536.7406,496.4594,522.344698,511.2080599,11.13663811,9.642648328,1.493989786,542,549
2021-01-06,555,555,541,512.6206055,53030554,517.85,63.1579,517.85,12.3343,542.5186,493.1814,526.4455137,514.0074628,12.43805084,10.20172883,2.236322007,549,565
2021-01-07,554,570,553,527.5604858,51166782,520.1,71.028,520.1,16.2348,552.5696,487.6304,532.3769731,517.7846878,14.5922853,11.07984012,3.512445173,565,580
2021-01-08,580,580,571,541.5663452,59563555,523.5,79.8246,523.5,20.8995,565.299,481.701,539.7035926,522.3932295,17.31036317,12.32594473,4.984418441,580,584
2021-01-11,577,584,574,545.3013916,48810990,526.9,79.8246,526.9,24.7852,576.4704,477.3296,546.5184245,526.9566939,19.56173059,13.7731019,5.788628688,584,591
2021-01-12,583,597,582,551.8375854,50232426,531.05,86.7257,531.05,28.1714,587.3928,474.7072,553.3617438,531.7006425,21.6611013,15.35070178,6.310399515,591,605
2021-01-13,595,605,593,564.90979,62662393,536.1,91.0569,536.1,31.8762,599.8524,472.3476,561.3060909,537.1302246,24.17586637,17.1157347,7.060131666,605,592
2021-01-14,587,597,587,552.7713623,75288477,540.1,81.25,540.1,33.6623,607.4246,472.7754,566.0282308,541.1946524,24.83357841,18.65930344,6.17427497,592,601
2021-01-15,621,625,601,561.1748657,92010500,544.75,84.9624,544.75,35.3745,615.499,474.001,571.408503,545.6246781,25.78382485,20.08420772,5.699617125,601,607
2021-01-18,608,608,594,566.7772217,45726476,549.6,85.4015,549.6,36.9728,623.5456,475.6544,576.8841179,550.1709983,26.71311964,21.40999011,5.30312953,607,627
2021-01-19,618,632,613,585.4520264,50672866,555.15,86.755,555.15,39.8804,634.9108,475.3892,584.5942536,555.8620354,28.73221818,22.87443572,5.857782457,627,647
2021-01-20,633,650,631,604.1268311,82066422,562.05,92.0732,562.05,43.2696,648.5892,475.5108,594.1951377,562.6129958,31.5821419,24.61597696,6.966164943,647,673
